BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec],BAT Photon Index,"CPL=1, PL=0",XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT Initial Temporal Index,XRT Spectral Index (Gamma),XRT Column Density (NH) [10^21 cm^-2],V Mag,V Mag=1 Limit=0,B Mag,B Mag=1 Limit=0,UVW1 Mag,UVW1 Mag=1 Limit=0,UVM2 Mag,UVM2 Mag=1 Limit=0,UVW2 Mag,UVW2 Mag=1 Limit=0,U Mag,U Mag=1 Limit=0,White Mag,White Mag=1 Limit=0,Redshift
549.9,53,0.9,1.73,0.0,607,0.13118196599999998,0.083225016,-5.102,1.9344700000000001,3.9437300000000004,20.3,1.0,19.8,1.0,19.4,1.0,20.4,1.0,21.2,1.0,19.4,1.0,20.2,1.0,1.47
200,68,2.5,1.52,0.0,1180,0.30204002,0.11431446,-0.6735,1.9525599999999999,13.4825,18.9,0.0,20.3,0.0,20.1,0.0,20.7,0.0,20.9,0.0,19.7,0.0,20.0,1.0,2.9929999999999999
3.92,6.7,6.1,1.86,0.0,-1000.0,0.00654696,0.0013689942,-0.6939,1.7949599999999999,3.14274484708,18.9,1.0,18.9,1.0,18.6,1.0,20.5,0.0,20.6,1.0,17.9,1.0,17.6,1.0,0.57299999999999995
79.2,43,2.5,1.72,0.0,54.6,0.13477992,0.06075402,-3.069,2.00735,3.02766,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,-1000.0,16.6,1.0,16.6,1.0,1.21
0.30,1.4,2.5,1.99,0.0,10,0.124650474,0.049621749,-0.186,1.63218,1.198516,18.9,0.0,20.0,0.0,18.4,0.0,18.8,0.0,18.6,0.0,18.2,0.0,21.0,0.0,0.35099999999999998
3.52,2.3,1.9,2.0,0.0,-1000.0,0.02227047,0.011395668,-0.8588,1.9939099999999998,3.304507,19.8,0.0,20.3,0.0,20.7,0.0,20.8,0.0,19.7,0.0,20.5,0.0,20.7,0.0,0.55800000000000005
67.1,39,2.8,1.74,0.0,1120,0.27815316,0.019339226,-0.08587,1.8275599999999999,7.4104399999999995,19.3,0.0,20.2,0.0,19.7,0.0,20.2,0.0,20.7,0.0,20.1,0.0,20.5,0.0,3.1400000000000001
42.0,24,4.2,1.86,0.0,60.8,0.05643627,0.008454501,-0.7484,1.95996,5.529669999999999,15.2,1.0,15.7,1.0,17.5,1.0,17.5,0.0,18.0,0.0,14.8,1.0,14.7,1.0,2.2749999999999999
0.13,0.27,0.6,-1000.0,-1000.0,-1000.0,6.518467e-17,0.000000000000000000368344,-6.634,1.5546,0.547200249501,19.6,0.0,20.1,0.0,19.6,0.0,20.6,0.0,-1000.0,-1000.0,20.2,0.0,21.2,0.0,0.95899999999999996
720,13,-1000.0,1.5,0.0,73.4,0.031932147,0.009170811,-1.779,1.77015,1.1050499999999998e-09,19.1,0.0,19.6,0.0,19.1,0.0,18.9,0.0,20.4,0.0,20.5,0.0,21.6,0.0,4.2329999999999997
